Sample,BPD24,TRP24
CTL0390,0.085040559,0.094195127
CTL0391,0.0924651,0.108306969
CTL0392,0.033719602,0.035842706
CTL0393,0.044333782,0.037604817
CTL0394,0.040974034,0.040884863
CTL0395,0.038201621,0.037692831
CTL0396,0.03843212,0.059041867
CTL0397,0.046568972,0.0567032
CTL0398,0.009529573,0.013595364
CTL0399,0.052437103,0.062518685
CTL0400,0.167197324,0.114855667
CTL0401,0.069000196,0.0415442
CTL0402,0.288131925,0.414076195
CTL0403,0.115162104,0.107950995
CTL0404,0.011682905,0.01360365
CTL0405,0.06436812,0.092285101
CTL0406,0.185742294,0.278366036
CTL0407,0.019680228,0.018040548
CTL0408,0.13965321,0.128632642
CTL0409,0.001612599,0.002037131
CTL0411,0.001526252,0.001533453
CTL0413,0.002403079,0.001251775
CTL0414,0.000446108,0.000449121
CTL0415,0.000764883,0.000687899
CTL0417,0.002187673,0.001914825
CTL0418,0.000121978,7.92E-05
CTL0419,0.0504603,0.040130295
CTL0419A,0.013376768,0.008669052
CTL0420,0.022028393,0.041463508
CTL0421,0.015721857,0.021164767
CTL0422,0.024600725,0.236871316
CTL0425,0.017139009,0.009406686
CTL0426,0.000680217,0.0007229
CTL0426A,0.000284654,0.000321029
CTL0427,0.046134458,0.036702961
CTL0428,0.001536369,0.001665958
CTL0429,0.009163016,0.010677882
CTL0430,0.003673227,0.004941025
CTL0431,0.028878219,0.026302407
CTL0432,0.170717534,0.181423943
CTL0433,0.006352469,0.005100301
CTL0434,0.095732057,0.125726779
CTL0435,0.039333746,0.028273654
CTL0436,0.010148208,0.007401203
CTL0437,0.287502043,0.263678719
CTL0438,0.123049,0.092562894
CTL0439,0.037885748,0.028957638
CTL0440,0.213706475,0.147017504
CTL0441,0.259529247,0.191135327
CTL0442,0.42032586,0.288360004
CTL0443,0.063697356,0.048311125
CTL0444,0.022997965,0.024847488
CTL0445,0.056300896,0.044382069
CTL0446,0.185872751,0.13611423
CTL0447,0.059166894,0.03574257
CTL0448,0.0038135,0.002705447
CTL0449,0.037388835,0.051960059
CTL0450,0.137325522,0.103198004
CTL0451,0.044128054,0.034719681
CTL0452,0.021568507,0.02238313
CTL0453,0.02450718,0.020483017
CTL0454,0.013125276,0.00985085
CTL0455,0.026907012,0.032407086
CTL0456,0.064400791,0.076603314
CTL0457,0.04631813,0.037065257
CTL0458,0.020565051,0.022931106
CTL0459,0.045676785,0.027300649
CTL0460,0.07831485,0.050003156
CTL0461,0.310254875,0.34163085
CTL0462,0.125203224,0.09273632
CTL0463,0.022003161,0.019105557
CTL0464,0.014298943,0.010333463
CTL0465,0.056615871,0.04947563
CTL0466,0.060879546,0.059581067
CTL0467,0.280615664,0.223748032
CTL0468,0.115271582,0.106005446
CTL0469,0.045038474,0.058311735
CTL0470,0.031659043,0.023845168
CTL0471,0.0049047,0.003756224
CTL0472,0.008327017,0.00994063
CTL0473,0.240570345,0.224291899
CTL0474,0.004925931,0.003499939
CTL0475,0.02171803,0.01607069
CTL0476,0.329561657,0.155145006
CTL0477,0.006743128,0.006112901
CTL0477A,0.033404109,0.030159096
CTL0478,0.015863307,0.013196973
CTL0479,0.008512114,0.012305489
CTL0480,0.021625805,0.090243935
CTL0481,0.019847383,0.031202878
CTL0482,0.048681985,0.056998183
CTL0483,0.045394433,0.049099936
CTL0484,0.073401256,0.137854007
CTL0485,0.01687483,0.051688773
CTL0486,0.08297789,0.089966341
CTL0487,0.021688404,0.020556417
CTL0488,0.096321887,0.094451606
CTL0489,0.126755781,0.100032241
CTL0490,0.074454938,0.049621452
CTL0491,0.189936692,0.128516814
CTL0492,0.012768961,0.015693261
CTL0493,0.659070439,0.519214497
CTL0494,0.124286505,0.070772922
CTL0495,0.176433963,0.111427073
CTL0496,0.01427296,0.012932989
CTL0497,0.042437441,0.032410973
CTL0498,0.03331635,0.024659641
CTL0499,0.055499763,0.039247369
CTL0500,0.046808591,0.063751448
CTL0500A,0.02893296,0.017893973
CTL0501,0.080385738,0.065342337
CTL0503,0.482026081,0.504080093
CTL0504,0.038016122,0.030220045
CTL0505,0.188796752,0.179727012
CTL0506,0.07179482,0.06741411
CTL0507,0.058209977,0.046222665
CTL0508,0.025126887,0.020239916
CTL0509,0.017537687,0.015087721
CTL0510,0.048295899,0.043849884
CTL0511,0.082716856,0.064095044
CTL0512,0.060408658,0.054444985
CTL0513,0.052630561,0.046550762
CTL0514,0.019864901,0.017581872
CTL0515,0.01189371,0.009621798
CTL0516,0.105720393,0.080799488
CTL0517,0.073233399,0.050165591
CTL0518,0.073056478,0.069189783
CTL0519,0.132836947,0.126083005
CTL0520,0.169417884,0.105850484
CTL0521,0.33638886,0.223320159
CTL0522,0.038991713,0.031499259
CTL0523,0.012103965,0.012105856
CTL0524,0.052918027,0.048230351
CTL0525,0.02292048,0.022523525
CTL0526,0.015957071,0.012368208
CTL0527,0.357373423,0.249732902
CTL0528,0.137947938,0.083424109
CTL0529,0.030190703,0.045367192
CTL0530,0.113308476,0.110160693
CTL0531,0.036259525,0.032067506
CTL0532,0.023566547,0.014450193
CTL0533,0.030798714,0.014680081
CTL0534,0.033601482,0.020730524
CTL0535,0.337277882,0.218100782
CTL0536,0.027510903,0.041857897
CTL0537,0.02285371,0.036931467
CTL0538,0.230342181,0.210929288
CTL0539,0.078033479,0.077773918
CTL0540,0.05444659,0.068031754
CTL0541,0.218703616,0.207522352
CTL0542,0.090257133,0.058455189
